model,attack,experiment,label_str,n_samples,pred_preserved_rate,aasr,aasr_quality,afs_simple_mean,afs_quality_mean,afs_stable_mean,afs_stable_median,attribution_change_median,cos_sim_median,top10_overlap_median,margin_adv_median,near_boundary_adv_010,quality_score_median
AST,PGD,AST | PGD,fake,50,1.0,1.0,0.42,0.9710730599999999,0.6592937700310134,0.657531249140558,0.6506006886459028,0.9728405,0.020989,0.031753,0.4998375,0.0,0.6733592629761904
AST,PGD,AST | PGD,real,50,0.98,0.98,0.26,0.9433257,0.5305478653313849,0.5207823042795152,0.5479620934296291,0.966152,0.0144745,0.0486365,0.4999175,0.02,0.5711824172619047
AST,Psychoacoustic,AST | Psychoacoustic,fake,50,0.94,0.94,0.62,0.86776254,0.6183892449138705,0.497564588304918,0.5373770571680885,0.9279475,0.11008499999999999,0.027784,0.43738000000000005,0.08,0.6791087648214285
AST,Psychoacoustic,AST | Psychoacoustic,real,50,1.0,0.92,0.82,0.86243654,0.7566836964681785,0.7410725866234137,0.7882161082451193,0.87795925,0.1675485,0.06384699999999999,0.49990599999999996,0.0,0.926013987857143
AST,X-Shift,AST | X-Shift,fake,50,0.86,0.86,0.7,0.7246520099999999,0.615335562112475,0.583250504137824,0.6671702076662066,0.8500765,0.128447,0.17498750000000002,0.498962,0.0,0.8294024688095237
AST,X-Shift,AST | X-Shift,real,50,0.94,0.06,0.02,0.58495961,0.4006847897810724,0.3794958295015279,0.41369874675214524,0.643617,0.227941,0.4978715,0.499854,0.0,0.7326733523809523
SPECTR,PGD,SPECTR | PGD,fake,50,0.98,0.94,0.4,0.85002982,0.5693577625596863,0.4952451483352994,0.5181623360012697,0.871946,0.1875275,0.0550145,0.4689455,0.0,0.6679472583333335
SPECTR,PGD,SPECTR | PGD,real,50,0.86,0.72,0.18,0.68684147,0.3831949301537479,0.29204836828393144,0.30069957075191633,0.8136645,0.277621,0.0919285,0.373649,0.14,0.5635918065476191
SPECTR,Psychoacoustic,SPECTR | Psychoacoustic,fake,50,1.0,0.0,0.0,0.49245194,0.3563008712547812,0.3347045498589334,0.3414255783101109,0.49699775,0.8492355,0.142857,0.4879085,0.0,0.7282828057142858
SPECTR,Psychoacoustic,SPECTR | Psychoacoustic,real,50,1.0,0.0,0.0,0.56093706,0.36678585737069774,0.3278546264251525,0.34275301602537234,0.58836825,0.732388,0.142857,0.4853075,0.02,0.6776124428571428
SPECTR,X-Shift,SPECTR | X-Shift,fake,50,1.0,0.2,0.18,0.60493448,0.49842240844215935,0.418934983713289,0.4220180816808674,0.60183575,0.49640300000000004,0.28551550000000003,0.46356850000000005,0.02,0.8183591226190476
SPECTR,X-Shift,SPECTR | X-Shift,real,50,0.88,0.04,0.02,0.38776511999999996,0.2711762073154952,0.20090433694485488,0.1995818942615294,0.44578775,0.693346,0.4305125,0.3982735,0.1,0.7285045785714286
VGG,PGD,VGG | PGD,fake,50,0.96,0.0,0.0,0.67935711,0.4619662252276458,0.45575228623727626,0.4634313893492038,0.71086075,0.482774,0.091998,0.5,0.04,0.6677306364285714
VGG,PGD,VGG | PGD,real,50,0.96,0.0,0.0,0.6806747799999999,0.38795926138384423,0.3679317322106225,0.397449978704307,0.71532775,0.4838925,0.077319,0.499993,0.02,0.5831258785714286
VGG,Psychoacoustic,VGG | Psychoacoustic,fake,50,1.0,0.16,0.12,0.69396879,0.6783707899668076,0.6677818497915178,0.685649,0.7021532500000001,0.06711,0.4927995,0.5,0.0,0.996495855
VGG,Psychoacoustic,VGG | Psychoacoustic,real,50,1.0,0.36,0.26,0.71443254,0.5191017015555499,0.49164311500161084,0.5317944001390621,0.7175125,0.41669849999999997,0.144947,0.5,0.0,0.7433985448214286
VGG,X-Shift,VGG | X-Shift,fake,50,0.94,0.94,0.76,0.88536372,0.7071086498386322,0.7069655529817348,0.7336597940832799,0.9446775000000001,0.001663,0.1071965,0.5,0.0,0.7833557547619048
VGG,X-Shift,VGG | X-Shift,real,50,0.9,0.9,0.54,0.8483588799999999,0.5981550849651426,0.5858139276016942,0.6446773047531155,0.94629125,0.000861,0.1068415,0.499992,0.02,0.7282748208333334
