model,attack,experiment,_file,label_str,pred_orig,pred_adv,prob_orig,prob_adv,score_shift,abs_score_shift,cos_sim,top10_overlap,attribution_change,afs_stable,quality_score,margin_adv,margin_safety,aasr_strict,aasr_quality,quality_pass,near_boundary_adv_010,pesq,stoi,visqol,peaq,zimtohrli
VGG,X-Shift,VGG | X-Shift,sample_0015_fake_09896_suno_1.json,fake,1,1,1.0,1.0,0.0,0.0,0.002362,0.073144,0.9622470000000001,0.95633525914355,0.9938563166666666,0.5,1.0,1,1,1,0,4.57184,0.999768,4.998344,-0.137014,4.995912
AST,PGD,AST | PGD,sample_0001_fake_12630_suno_1.json,fake,1,1,0.999934,0.999813,-0.00012100000000003774,0.00012100000000003774,0.020775,0.017626,0.9807995,0.9539914562084586,0.9730310654761906,0.49981299999999995,0.9996259999999999,1,1,1,0,4.471087,0.998329,4.970653,-0.49144,4.91677
AST,PGD,AST | PGD,sample_0002_fake_16796_suno_1.json,fake,1,1,0.999924,0.999869,-5.500000000002725e-05,5.500000000002725e-05,0.029929,0.019405,0.975333,0.9527322300891263,0.9770836333333333,0.499869,0.999738,1,1,1,0,4.506538,0.998314,4.977951,-0.474623,4.974589
VGG,X-Shift,VGG | X-Shift,sample_0023_fake_31014_suno_0.json,fake,1,1,1.0,1.0,0.0,0.0,0.002177,0.076906,0.9604585,0.9518116602047375,0.9909971750000001,0.5,1.0,1,1,1,0,4.570298,0.999692,4.99334,-0.193807,4.992289
VGG,X-Shift,VGG | X-Shift,sample_0022_fake_12630_suno_1.json,fake,1,1,1.0,1.0,0.0,0.0,0.003114,0.080814,0.9580360000000001,0.9515718436971999,0.9932526999999999,0.5,1.0,1,1,1,0,4.542075,0.999795,4.995602,-0.144614,4.989641
AST,Psychoacoustic,AST | Psychoacoustic,sample_0001_fake_09896_suno_1.json,fake,1,1,0.999922,0.998645,-0.0012769999999999726,0.0012769999999999726,0.051413,0.014024,0.9672814999999999,0.9477414816841324,0.9824615071428571,0.498645,0.99729,1,1,1,0,4.473842,0.999377,4.99266,-0.254995,4.92994
VGG,X-Shift,VGG | X-Shift,sample_0003_fake_16796_suno_1.json,fake,1,1,1.0,1.0,0.0,0.0,0.004724,0.091131,0.9520725000000001,0.946095182562625,0.9937217833333333,0.5,1.0,1,1,1,0,4.571181,0.999753,4.99671,-0.13724,4.996946
AST,Psychoacoustic,AST | Psychoacoustic,sample_0003_fake_16796_suno_1.json,fake,1,1,0.999924,0.995424,-0.0045000000000000595,0.0045000000000000595,0.036356,0.029573,0.9670354999999999,0.9420486844938467,0.9831593028571429,0.495424,0.990848,1,1,1,0,4.489289,0.999359,4.987106,-0.290442,4.976659
VGG,X-Shift,VGG | X-Shift,sample_0004_fake_27504_udio_1.json,fake,1,1,1.0,1.0,0.0,0.0,0.001043,0.106162,0.9463975,0.9409144120107708,0.9942063583333333,0.5,1.0,1,1,1,0,4.577337,0.999817,4.997903,-0.122204,4.989362
AST,Psychoacoustic,AST | Psychoacoustic,sample_0002_real_03067.json,real,0,0,8e-06,8e-06,0.0,0.0,0.050129,0.069848,0.9400115,0.9399134017288105,0.99991164,0.499992,0.999984,1,1,1,0,4.643888,0.999992,4.99998,-0.001696,4.999976
AST,PGD,AST | PGD,sample_0002_fake_31014_suno_0.json,fake,1,1,0.999941,0.999933,-8.000000000008e-06,8.000000000008e-06,0.039232,0.030853,0.9649574999999999,0.9300424464751366,0.9639461726190476,0.49993299999999996,0.9998659999999999,1,1,1,0,4.483992,0.99754,4.956013,-0.713886,4.93462
AST,Psychoacoustic,AST | Psychoacoustic,sample_0000_fake_31014_suno_0.json,fake,1,1,0.999941,0.983152,-0.016788999999999943,0.016788999999999943,0.007731,0.018418,0.9869254999999999,0.9278826578502519,0.97295983,0.483152,0.966304,1,1,1,0,4.461052,0.999208,4.975924,-0.429953,4.951132
AST,Psychoacoustic,AST | Psychoacoustic,sample_0000_real_19119.json,real,0,0,0.000223,0.000223,0.0,0.0,0.106932,0.038172,0.927448,0.9270343581920001,1.0,0.499777,0.999554,1,1,1,0,4.643888,1.0,5.0,0.0,5.0
AST,Psychoacoustic,AST | Psychoacoustic,sample_0001_real_10101.json,real,0,0,0.000126,0.000126,0.0,0.0,0.115006,0.040752,0.922121,0.921888625508,1.0,0.499874,0.999748,1,1,1,0,4.643888,1.0,5.0,0.0,5.0
VGG,X-Shift,VGG | X-Shift,sample_0002_real_03067.json,real,0,0,1e-06,6.7e-05,6.6e-05,6.6e-05,0.000502,0.082708,0.958395,0.9175955262029711,0.9575576880952381,0.499933,0.999866,1,1,1,0,4.33323,0.999909,4.952394,-0.473412,4.758306
VGG,X-Shift,VGG | X-Shift,sample_0022_fake_52861_suno_1.json,fake,1,1,1.0,1.0,0.0,0.0,0.002254,0.14307,0.927338,0.9120476801208,0.9835115999999999,0.5,1.0,1,1,1,0,4.56043,0.998861,4.949862,-0.28993,4.954573
AST,Psychoacoustic,AST | Psychoacoustic,sample_0000_real_00689.json,real,0,0,1.9e-05,1.9e-05,0.0,0.0,0.097562,0.083882,0.909278,0.9092419017221394,0.9999983,0.499981,0.999962,1,1,1,0,4.643888,1.0,5.0,-3.4e-05,5.0
AST,Psychoacoustic,AST | Psychoacoustic,sample_0000_real_06824.json,real,0,0,1.9e-05,1.9e-05,0.0,0.0,0.129527,0.053782,0.9083455,0.9083109828710001,1.0,0.499981,0.999962,1,1,1,0,4.643888,1.0,5.0,0.0,5.0
VGG,X-Shift,VGG | X-Shift,sample_0017_fake_38961_udio_0.json,fake,1,1,1.0,1.0,0.0,0.0,0.016098,0.134571,0.9246655,0.9033874057358334,0.9769883333333333,0.5,1.0,1,1,1,0,4.50717,0.999723,4.966921,-0.235429,4.665005
AST,PGD,AST | PGD,sample_0001_fake_25170_suno_0.json,fake,1,1,0.999927,0.999944,1.7000000000044757e-05,1.7000000000044757e-05,0.023068,0.082229,0.9473515,0.899997822430509,0.9501210833333333,0.49994400000000006,0.9998880000000001,1,1,1,0,4.37393,0.991527,4.922375,-0.836865,4.90425
VGG,X-Shift,VGG | X-Shift,sample_0008_real_18998.json,real,0,0,0.007376,0.011405,0.0040290000000000005,0.0040290000000000005,0.000644,0.118875,0.9402405,0.896546954106254,0.9757870976190476,0.488595,0.97719,1,1,1,0,4.396478,0.999916,4.993742,-0.251016,4.798044
AST,PGD,AST | PGD,sample_0001_fake_27504_udio_1.json,fake,1,1,0.999879,0.999891,1.2000000000012001e-05,1.2000000000012001e-05,0.041485,0.042044,0.9582355,0.8964855223316347,0.9357626583333333,0.499891,0.999782,1,1,1,0,4.030608,0.998366,4.96892,-0.660077,4.695246
AST,Psychoacoustic,AST | Psychoacoustic,sample_0002_real_01192.json,real,0,0,0.000114,0.000114,0.0,0.0,0.171698,0.035216,0.896543,0.896338588196,1.0,0.499886,0.999772,1,1,1,0,4.643888,1.0,5.0,0.0,5.0
AST,PGD,AST | PGD,sample_0000_fake_52861_suno_1.json,fake,1,1,0.999952,0.999945,-6.999999999979245e-06,6.999999999979245e-06,0.028909,0.07441,0.9483405,0.8946775181571995,0.9435175904761905,0.499945,0.99989,1,1,1,0,4.446909,0.989674,4.821875,-0.821527,4.769647
VGG,X-Shift,VGG | X-Shift,sample_0016_fake_25170_suno_0.json,fake,1,1,1.0,1.0,0.0,0.0,0.002433,0.191957,0.9028050000000001,0.8940864240306252,0.9903427916666668,0.5,1.0,1,1,1,0,4.572165,0.999568,4.994817,-0.209854,4.99286
AST,Psychoacoustic,AST | Psychoacoustic,sample_0002_fake_12630_suno_1.json,fake,1,1,0.999934,0.963462,-0.03647199999999995,0.03647199999999995,0.017902,0.011296,0.985401,0.893623980745143,0.9783577485714285,0.46346200000000004,0.9269240000000001,1,1,1,0,4.449758,0.999529,4.980369,-0.294669,4.925948
VGG,X-Shift,VGG | X-Shift,sample_0006_real_19284.json,real,0,0,0.0,0.0,0.0,0.0,0.000252,0.090205,0.9547715,0.8912556976414053,0.9334753892857143,0.5,1.0,1,1,1,0,4.249387,0.991889,4.779365,-0.609832,4.487724
AST,Psychoacoustic,AST | Psychoacoustic,sample_0001_real_03751.json,real,0,0,0.000119,0.000119,0.0,0.0,0.164129,0.056034,0.8899185000000001,0.8897066993970001,1.0,0.499881,0.999762,1,1,1,0,4.643888,1.0,5.0,0.0,5.0
VGG,X-Shift,VGG | X-Shift,sample_0008_fake_29238_suno_1.json,fake,1,1,1.0,1.0,0.0,0.0,0.001615,0.073298,0.9625435,0.8853340792346346,0.9197860452380953,0.5,1.0,1,1,1,0,4.41029,0.987357,4.797282,-1.136296,4.557601
VGG,X-Shift,VGG | X-Shift,sample_0018_fake_42122_suno_1.json,fake,1,1,1.0,1.0,0.0,0.0,0.002452,0.110358,0.943595,0.8839426573941488,0.9367818369047619,0.5,1.0,1,1,1,0,4.431584,0.993386,4.863286,-0.749285,4.394461
AST,Psychoacoustic,AST | Psychoacoustic,sample_0000_real_13325.json,real,0,0,8.7e-05,8.7e-05,0.0,0.0,0.172722,0.065119,0.8810795,0.880926192167,1.0,0.499913,0.999826,1,1,1,0,4.643888,1.0,5.0,0.0,5.0
AST,Psychoacoustic,AST | Psychoacoustic,sample_0000_real_07252.json,real,0,0,8.5e-05,8.5e-05,0.0,0.0,0.211188,0.027057,0.8808775,0.880727750825,1.0,0.499915,0.99983,1,1,1,0,4.643888,1.0,5.0,0.0,5.0
VGG,X-Shift,VGG | X-Shift,sample_0005_real_06308.json,real,0,0,0.0,0.0,0.0,0.0,0.007887,0.127244,0.9324345,0.879517130441668,0.9432481642857143,0.5,1.0,1,1,1,0,4.239293,0.995681,4.919163,-0.749649,4.834946
AST,Psychoacoustic,AST | Psychoacoustic,sample_0002_real_06334.json,real,0,0,3.9e-05,3.9e-05,0.0,0.0,0.099525,0.144093,0.8781909999999999,0.878122501102,1.0,0.499961,0.999922,1,1,1,0,4.643888,1.0,5.0,0.0,5.0
VGG,X-Shift,VGG | X-Shift,sample_0003_fake_35261_suno_1.json,fake,1,1,1.0,1.0,0.0,0.0,0.003974,0.090486,0.95277,0.8778370293647499,0.9213525083333333,0.5,1.0,1,1,1,0,4.146717,0.998145,4.844986,-0.981081,4.674454
AST,PGD,AST | PGD,sample_0000_fake_46574_suno_1.json,fake,1,1,0.999943,0.999969,2.599999999997049e-05,2.599999999997049e-05,0.029459,0.054302,0.9581195,0.8773783965757945,0.9157863892857142,0.499969,0.999938,1,1,1,0,4.293662,0.994496,4.842382,-1.188973,4.633409
AST,Psychoacoustic,AST | Psychoacoustic,sample_0000_fake_46574_suno_1.json,fake,1,1,0.999943,0.999077,-0.0008660000000000334,0.0008660000000000334,0.110202,0.012591,0.9386034999999999,0.8770039843473904,0.9360991385714286,0.499077,0.998154,1,1,1,0,4.353907,0.997537,4.90625,-0.820655,4.766504
AST,Psychoacoustic,AST | Psychoacoustic,sample_0002_real_12041.json,real,0,0,1.4e-05,1.4e-05,0.0,0.0,0.198487,0.04775,0.8768815000000001,0.876856947318,1.0,0.499986,0.999972,1,1,1,0,4.643888,1.0,5.0,0.0,5.0
AST,X-Shift,AST | X-Shift,sample_0014_fake_46574_suno_1.json,fake,1,1,0.999943,0.999863,-8.000000000008001e-05,8.000000000008001e-05,0.043111,0.162861,0.897014,0.8735283085855169,0.9740848202380953,0.49986299999999995,0.9997259999999999,1,1,1,0,4.49121,0.999263,4.981166,-0.503691,4.931293
AST,Psychoacoustic,AST | Psychoacoustic,sample_0002_real_12935.json,real,0,0,0.002579,0.002579,0.0,0.0,0.179347,0.065198,0.8777275,0.873200181555,1.0,0.497421,0.994842,1,1,1,0,4.643888,1.0,5.0,0.0,5.0
AST,Psychoacoustic,AST | Psychoacoustic,sample_0000_real_06651.json,real,0,0,0.005501,0.005501,0.0,0.0,0.18904,0.045667,0.8826465,0.872935623207,1.0,0.494499,0.988998,1,1,1,0,4.643888,1.0,5.0,0.0,5.0
AST,Psychoacoustic,AST | Psychoacoustic,sample_0000_real_09723.json,real,0,0,4.3e-05,4.3e-05,0.0,0.0,0.169478,0.089898,0.870312,0.870237153168,1.0,0.499957,0.999914,1,1,1,0,4.643888,1.0,5.0,0.0,5.0
AST,X-Shift,AST | X-Shift,sample_0022_fake_52861_suno_1.json,fake,1,1,0.999952,0.999937,-1.4999999999987246e-05,1.4999999999987246e-05,0.07386,0.171315,0.8774124999999999,0.8684987035127093,0.98996555,0.49993699999999996,0.9998739999999999,1,1,1,0,4.550009,0.999528,4.989662,-0.202424,4.973924
AST,Psychoacoustic,AST | Psychoacoustic,sample_0001_real_20445.json,real,0,0,8.9e-05,8.9e-05,0.0,0.0,0.200879,0.064575,0.867273,0.8671186254059999,1.0,0.499911,0.999822,1,1,1,0,4.643888,1.0,5.0,0.0,5.0
AST,Psychoacoustic,AST | Psychoacoustic,sample_0000_real_19661.json,real,0,0,0.014121,0.014121,0.0,0.0,0.167982,0.049825,0.8910965,0.865930152647,1.0,0.485879,0.971758,1,1,1,0,4.643888,1.0,5.0,0.0,5.0
AST,Psychoacoustic,AST | Psychoacoustic,sample_0001_fake_44098_suno_0.json,fake,1,1,0.999915,0.998824,-0.0010909999999999531,0.0010909999999999531,0.067335,0.043639,0.9445129999999999,0.8650109685424058,0.9179865928571429,0.49882400000000005,0.9976480000000001,1,1,1,0,4.391681,0.976972,4.700242,-0.655581,4.41372
AST,X-Shift,AST | X-Shift,sample_0004_fake_27504_udio_1.json,fake,1,1,0.999879,0.999923,4.4000000000044004e-05,4.4000000000044004e-05,0.082639,0.142549,0.8874059999999999,0.862532998063522,0.9721208202380952,0.499923,0.999846,1,1,1,0,4.275778,0.999878,4.996607,-0.187008,4.865223
VGG,X-Shift,VGG | X-Shift,sample_0012_real_11262.json,real,0,0,1e-06,0.0,-1e-06,1e-06,0.0014,0.083889,0.9573555,0.8620557028926232,0.9004551630952381,0.5,1.0,1,1,1,0,4.28304,0.997316,4.782335,-1.198904,4.237569
AST,X-Shift,AST | X-Shift,sample_0016_fake_25170_suno_0.json,fake,1,1,0.999927,0.999927,0.0,0.0,0.082769,0.174574,0.8713285,0.8582914271190291,0.985181542857143,0.499927,0.999854,1,1,1,0,4.48531,0.999288,4.990861,-0.302913,4.981357
VGG,X-Shift,VGG | X-Shift,sample_0007_fake_02868_suno_1.json,fake,1,1,1.0,1.0,0.0,0.0,0.000614,0.133735,0.9328255000000001,0.8571382555010693,0.9188623761904763,0.5,1.0,1,1,1,0,4.208026,0.996949,4.825229,-0.829105,4.306447
