model,attack,experiment,_file,label_str,pred_orig,pred_adv,prob_orig,prob_adv,score_shift,abs_score_shift,cos_sim,top10_overlap,attribution_change,afs_stable,quality_score,margin_adv,margin_safety,aasr_strict,aasr_quality,quality_pass,near_boundary_adv_010,pesq,stoi,visqol,peaq,zimtohrli
AST,PGD,AST | PGD,sample_0000_real_03147.json,real,0,0,5e-06,3e-06,-2.0000000000000003e-06,2.0000000000000003e-06,0.005093,0.00309,0.9959085,0.7501099365952033,0.7531961392857144,0.499997,0.999994,1,1,1,0,3.383158,0.996632,4.446933,-2.110686,3.235219
AST,PGD,AST | PGD,sample_0001_real_07252.json,real,0,0,8.5e-05,0.003592,0.003507,0.003507,0.00606,0.002608,0.9956659999999999,0.6498977043628524,0.6574497404761904,0.496408,0.992816,1,0,0,0,2.897718,0.98953,4.141431,-3.606593,3.098274
AST,PGD,AST | PGD,sample_0002_real_09833.json,real,0,0,0.232924,0.019493,-0.21343099999999998,0.21343099999999998,0.008503,0.004128,0.9936845,0.26601898775703,0.27857004,0.480507,0.961014,1,0,0,0,,0.0,5.0,-4.0,1.964251
AST,PGD,AST | PGD,sample_0001_real_00224.json,real,0,0,3.6e-05,1.7e-05,-1.9e-05,1.9e-05,0.006018,0.008196,0.992893,0.5530955762925523,0.5570735035714286,0.499983,0.999966,1,0,0,0,2.531028,0.992306,3.276037,-3.417256,2.265781
AST,PGD,AST | PGD,sample_0002_real_13325.json,real,0,0,8.7e-05,6e-05,-2.7e-05,2.7e-05,0.010255,0.008483,0.990631,0.5448156924454689,0.5500343499999999,0.49994,0.99988,1,0,0,0,2.588685,0.71695,3.208114,-3.281088,3.472428
AST,PGD,AST | PGD,sample_0001_real_06824.json,real,0,0,1.9e-05,1.1e-05,-8.000000000000001e-06,8.000000000000001e-06,0.011445,0.008333,0.990111,0.595806818238936,0.6017708380952379,0.499989,0.999978,1,0,0,0,2.393551,0.955209,3.749059,-2.970707,3.045063
AST,PGD,AST | PGD,sample_0000_real_09723.json,real,0,0,4.3e-05,1.2e-05,-3.1e-05,3.1e-05,0.008232,0.01269,0.989539,0.6067011207066229,0.6131296309523809,0.499988,0.999976,1,0,0,0,2.230832,0.994084,4.165839,-3.727445,3.080615
AST,PGD,AST | PGD,sample_0002_real_11262.json,real,0,0,4.2e-05,4.3e-05,1.000000000000004e-06,1.000000000000004e-06,0.008741,0.0146,0.9883295000000001,0.7990156119855076,0.8085201678571429,0.499957,0.999914,1,1,1,0,3.910141,0.986562,4.585807,-2.028488,3.547482
AST,PGD,AST | PGD,sample_0000_fake_42122_suno_1.json,fake,1,1,0.999928,0.99973,-0.00019800000000003148,0.00019800000000003148,0.016765,0.006701,0.988267,0.812599103539091,0.822690775,0.49973,0.99946,1,1,1,0,3.948029,0.960713,4.451119,-1.82221,3.893947
AST,PGD,AST | PGD,sample_0001_real_03705.json,real,0,0,0.0001,0.000159,5.8999999999999984e-05,5.8999999999999984e-05,0.012198,0.012217,0.9877925,0.6948887501809246,0.7037002154761905,0.499841,0.999682,1,1,1,0,3.028709,0.987363,4.233316,-3.336273,3.839602
AST,PGD,AST | PGD,sample_0001_fake_46348_udio_1.json,fake,1,1,0.99985,0.999463,-0.0003870000000000262,0.0003870000000000262,0.016978,0.00762,0.9877009999999999,0.4980136600984067,0.5047571095238096,0.499463,0.998926,1,0,0,0,1.764452,0.885268,3.106685,-3.995613,3.231969
