model,attack,experiment,_file,label_str,pred_orig,pred_adv,prob_orig,prob_adv,score_shift,abs_score_shift,cos_sim,top10_overlap,attribution_change,afs_stable,quality_score,margin_adv,margin_safety,aasr_strict,aasr_quality,quality_pass,near_boundary_adv_010,pesq,stoi,visqol,peaq,zimtohrli
SPECTR,X-Shift,SPECTR | X-Shift,sample_0001_real_03751.json,real,1,0,0.527831,0.497667,-0.030164000000000024,0.030164000000000024,0.69952,0.363057,0.4687115,0.0,0.7510584452380953,0.002332999999999974,0.004665999999999948,0,0,1,1,3.347655,0.998324,4.624632,-3.071662,4.179083
SPECTR,PGD,SPECTR | PGD,sample_0068_real_19119.json,real,0,1,0.198344,0.512938,0.31459400000000004,0.31459400000000004,0.271618,0.073228,0.827577,0.0,0.5610165154761905,0.012938000000000005,0.02587600000000001,0,0,0,1,3.594519,0.778646,2.966715,-3.697352,2.637516
SPECTR,X-Shift,SPECTR | X-Shift,sample_0011_real_12741.json,real,1,0,0.524701,0.486083,-0.038617999999999986,0.038617999999999986,0.854298,0.564912,0.290395,0.0,0.6635645083333332,0.013917000000000013,0.027834000000000025,0,0,0,1,2.498427,0.999582,4.232248,-3.114539,3.426139
SPECTR,Psychoacoustic,SPECTR | Psychoacoustic,sample_0031_real_19441.json,real,0,0,0.013374,0.485116,0.471742,0.471742,0.650535,0.0,0.6747325,0.010851593598664467,0.5402717185714285,0.014884000000000008,0.029768000000000017,0,0,0,1,2.376043,0.783174,3.592251,-3.14747,3.319171
VGG,X-Shift,VGG | X-Shift,sample_0019_real_06824.json,real,0,1,0.047683,0.516615,0.468932,0.468932,0.001005,0.080791,0.9591019999999999,0.0,0.8253066226190476,0.016615000000000046,0.03323000000000009,0,0,1,1,3.720019,0.996164,4.498413,-1.72538,4.031381
AST,Psychoacoustic,AST | Psychoacoustic,sample_0001_fake_37097_udio_0.json,fake,1,1,0.999842,0.516934,-0.482908,0.482908,0.144103,0.00858,0.9236584999999999,0.014964830284758025,0.47837757571428574,0.016934000000000005,0.03386800000000001,1,0,0,1,2.232978,0.851696,3.275149,-3.987748,3.080311
SPECTR,X-Shift,SPECTR | X-Shift,sample_0003_real_06031.json,real,1,1,0.578386,0.521662,-0.056724,0.056724,0.613969,0.440299,0.472866,0.015182085957076803,0.7410795178571429,0.02166199999999996,0.04332399999999992,0,0,1,1,3.658806,0.905348,3.978005,-2.140464,3.25987
SPECTR,PGD,SPECTR | PGD,sample_0054_real_19597.json,real,0,1,0.483748,0.526295,0.042546999999999946,0.042546999999999946,0.328348,0.054725,0.8084635,0.0,0.5227013392857143,0.026294999999999957,0.052589999999999915,0,0,0,1,3.027831,0.818802,2.938887,-3.994516,3.00925
SPECTR,PGD,SPECTR | PGD,sample_0038_real_13270.json,real,0,0,0.40863,0.466407,0.05777700000000002,0.05777700000000002,0.252218,0.048078,0.849852,0.01998326915251307,0.34998098690476187,0.033592999999999984,0.06718599999999997,1,0,0,1,2.094606,0.50714,1.982736,-2.907645,2.310448
SPECTR,PGD,SPECTR | PGD,sample_0028_real_06031.json,real,1,0,0.578386,0.465914,-0.11247199999999996,0.11247199999999996,0.273576,0.080218,0.8231029999999999,0.0,0.5291564333333333,0.034086000000000005,0.06817200000000001,0,0,0,1,2.322538,0.828543,3.283362,-3.989958,2.879143
VGG,PGD,VGG | PGD,sample_0017_fake_18041_udio_1.json,fake,1,0,0.824563,0.465146,-0.35941700000000004,0.35941700000000004,0.52047,0.09741,0.69106,0.0,0.7065919130952382,0.034853999999999996,0.06970799999999999,0,0,1,1,3.094377,0.93658,4.244822,-2.763401,3.313539
VGG,PGD,VGG | PGD,sample_0006_fake_41087_udio_1.json,fake,1,0,0.816809,0.464144,-0.352665,0.352665,0.468094,0.075646,0.7281299999999999,0.0,0.49151227261904756,0.035856,0.071712,0,0,0,1,1.572209,0.801637,3.325291,-3.522336,2.636808
SPECTR,X-Shift,SPECTR | X-Shift,sample_0007_real_06994.json,real,0,0,0.235216,0.45289,0.217674,0.217674,0.85415,0.47907,0.33339,0.023596440430607532,0.7511917761904762,0.047109999999999985,0.09421999999999997,0,0,1,1,3.180594,0.996563,4.487889,-1.880665,3.304544
SPECTR,PGD,SPECTR | PGD,sample_0026_real_03751.json,real,1,0,0.527831,0.452565,-0.07526600000000006,0.07526600000000006,0.177857,0.07145,0.8753465,0.0,0.6204374928571429,0.047435000000000005,0.09487000000000001,0,0,0,1,2.367495,0.968148,3.950521,-3.580359,3.291068
SPECTR,X-Shift,SPECTR | X-Shift,sample_0024_fake_23504_suno_1.json,fake,0,0,0.386542,0.452249,0.06570700000000002,0.06570700000000002,0.379759,0.215517,0.702362,0.05425119214673359,0.8087900738095238,0.04775099999999999,0.09550199999999998,1,1,1,1,4.091988,0.967893,4.174647,-1.969705,3.644064
SPECTR,PGD,SPECTR | PGD,sample_0086_real_12741.json,real,1,0,0.524701,0.445371,-0.07932999999999996,0.07932999999999996,0.541933,0.100289,0.6788890000000001,0.0,0.527437686904762,0.05462899999999998,0.10925799999999997,0,0,0,1,1.306812,0.994715,3.541463,-3.501584,2.331749
