model,attack,experiment,_file,label_str,pred_orig,pred_adv,prob_orig,prob_adv,score_shift,abs_score_shift,cos_sim,top10_overlap,attribution_change,afs_stable,quality_score,margin_adv,margin_safety,aasr_strict,aasr_quality,quality_pass,near_boundary_adv_010,pesq,stoi,visqol,peaq,zimtohrli
SPECTR,PGD,SPECTR | PGD,sample_0067_real_19661.json,real,0,0,0.292505,0.275745,-0.016759999999999997,0.016759999999999997,0.220787,0.094728,0.8422425,0.07411318741785336,0.19619422,0.22425499999999998,0.44850999999999996,1,0,0,0,,0.143509,1.0,-3.965694,1.992008
AST,PGD,AST | PGD,sample_0001_real_19661.json,real,0,0,0.014121,0.012371,-0.0017499999999999998,0.0017499999999999998,0.015949,0.061805,0.961123,0.19446361277989982,0.20746262,0.487629,0.975258,1,0,0,0,,0.103153,1.0,-3.961046,2.026723
SPECTR,PGD,SPECTR | PGD,sample_0082_real_12935.json,real,0,0,0.205781,0.118389,-0.087392,0.087392,0.355383,0.083336,0.7806405000000001,0.16004990781736336,0.2686293547619048,0.38161100000000003,0.7632220000000001,1,0,0,0,1.100756,0.282796,1.442631,-3.997925,2.721406
AST,PGD,AST | PGD,sample_0002_real_06651.json,real,0,0,0.005501,0.000197,-0.005304,0.005304,0.017214,0.051789,0.9654985,0.2678930215733974,0.27757538,0.499803,0.999606,1,0,0,0,,0.25897,1.0,-3.968546,2.994282
AST,PGD,AST | PGD,sample_0002_real_09833.json,real,0,0,0.232924,0.019493,-0.21343099999999998,0.21343099999999998,0.008503,0.004128,0.9936845,0.26601898775703,0.27857004,0.480507,0.961014,1,0,0,0,,0.0,5.0,-4.0,1.964251
AST,PGD,AST | PGD,sample_0002_real_07251.json,real,0,0,0.232924,0.028937,-0.203987,0.203987,0.012165,0.054224,0.9668055,0.2572006180035112,0.28237348,0.471063,0.942126,1,0,0,0,,0.0,5.0,-4.0,2.059337
SPECTR,PGD,SPECTR | PGD,sample_0020_real_06651.json,real,0,0,0.197359,0.065529,-0.13183,0.13183,0.204318,0.07911,0.858286,0.211055930213855,0.28299238,0.434471,0.868942,1,0,0,0,,0.299766,1.0,-3.970314,2.989832
SPECTR,PGD,SPECTR | PGD,sample_0083_real_07251.json,real,0,0,0.102044,0.034682,-0.067362,0.067362,0.228224,0.125389,0.8231935,0.2169142587379674,0.28314332000000003,0.465318,0.930636,1,0,0,0,,0.0,5.0,-4.0,2.078583
SPECTR,PGD,SPECTR | PGD,sample_0044_real_09833.json,real,0,0,0.102044,0.056184,-0.04586,0.04586,0.227506,0.042486,0.865004,0.21802787741770258,0.28396248,0.443816,0.887632,1,0,0,0,,0.0,5.0,-4.0,2.099062
SPECTR,PGD,SPECTR | PGD,sample_0089_fake_30470_udio_1.json,fake,1,1,0.983061,0.984812,0.001751000000000058,0.001751000000000058,0.168035,0.027014,0.9024755,0.2512300581007506,0.2870997547619048,0.484812,0.969624,1,0,0,0,1.363522,0.717416,1.952067,-3.996893,2.665983
AST,PGD,AST | PGD,sample_0002_fake_30470_udio_1.json,fake,1,1,0.999547,0.999875,0.00032799999999999496,0.00032799999999999496,0.034579,0.012487,0.976467,0.28552856037216656,0.2924829619047619,0.49987499999999996,0.9997499999999999,1,0,0,0,1.35815,0.692786,2.115952,-3.996844,2.637606
VGG,X-Shift,VGG | X-Shift,sample_0017_real_19661.json,real,0,0,0.000668,0.000383,-0.000285,0.000285,0.001769,0.125204,0.9365135,0.28840255275016197,0.3081895119047619,0.499617,0.999234,1,0,0,0,1.528726,0.305387,1.30005,-3.80148,2.20218
AST,PGD,AST | PGD,sample_0001_real_12935.json,real,0,0,0.002579,0.000359,-0.00222,0.00222,0.017295,0.099428,0.9416385,0.2975904540716392,0.31626179,0.499641,0.999282,1,0,0,0,,0.279292,1.408719,-3.998092,2.769251
AST,PGD,AST | PGD,sample_0000_real_12540.json,real,0,0,0.000274,0.000584,0.00031,0.00031,0.023232,0.015433,0.9806675,0.32427162545963034,0.33105085833333336,0.499416,0.998832,1,0,0,0,1.221893,0.952209,1.990855,-3.771304,2.824762
SPECTR,PGD,SPECTR | PGD,sample_0000_real_12540.json,real,0,0,0.245419,0.195656,-0.049763,0.049763,0.284433,0.178734,0.7684165000000001,0.1555041760051999,0.33246860000000006,0.304344,0.608688,1,0,0,0,1.19474,0.957698,1.990875,-3.774207,2.714833
VGG,X-Shift,VGG | X-Shift,sample_0020_real_06651.json,real,0,0,1.1e-05,8.7e-05,7.6e-05,7.6e-05,3.5e-05,0.109703,0.9451309999999999,0.3189942495233441,0.33757200238095236,0.499913,0.999826,1,0,0,0,1.246609,0.575235,1.87482,-3.849798,3.073459
SPECTR,PGD,SPECTR | PGD,sample_0057_real_10101.json,real,0,0,0.035245,0.029548,-0.005696999999999997,0.005696999999999997,0.161456,0.076612,0.8809659999999999,0.2812024067936517,0.3392458714285714,0.470452,0.940904,1,0,0,0,1.499133,0.605059,1.659564,-3.995796,2.660329
AST,PGD,AST | PGD,sample_0000_real_10101.json,real,0,0,0.000126,8.8e-05,-3.8e-05,3.8e-05,0.012297,0.085904,0.9508995,0.32424469445987664,0.34104736785714285,0.499912,0.999824,1,0,0,0,1.520614,0.607213,1.61093,-3.995751,2.680118
