stem,n_cases,n_models,n_attacks,afs_stable_mean,afs_stable_median,afs_stable_max,afs_stable_min,afs_quality_mean,afs_simple_mean,pred_preserved_rate,attribution_change_mean,attribution_change_median,cos_sim_median,top10_overlap_median,quality_score_mean,quality_score_median,margin_adv_mean,margin_adv_median,margin_drop_mean,abs_score_shift_mean,abs_score_shift_median,label_str,pesq_median,stoi_median,visqol_median,peaq_median,zimtohrli_median,best_case_afs_stable,best_model,best_attack,worst_case_afs_stable,worst_model,worst_attack
fake_01429_suno_1,9,3,3,0.6014608356248091,0.6125001882490653,0.7185299813908502,0.4834464187485043,0.623443452175738,0.7927565,1.0,0.7927565,0.7682789999999999,0.134188,0.0871565,0.8230125461111111,0.8116864657142855,0.48643544444444436,0.499889,-0.002391111111111092,0.018693555555555505,3.6999999999953737e-05,fake,3.8225365,0.985568,4.626357,-1.77279,3.98117,0.7185299813908502,AST,Attack_2,0.4834464187485043,VGG,Attack_2
fake_02193_udio_1,9,3,3,0.40608468678088067,0.35876362298419107,0.8160135,0.2221836064890797,0.4398872594154737,0.7597476666666667,0.8888888888888888,0.7597476666666667,0.83083825,0.22488049999999998,0.107454,0.6253978331746032,0.5800625842857143,0.4537477777777777,0.482819,0.009901555555555545,0.1328662222222222,0.0145129999999999,fake,3.160657,0.987584,3.920057,-3.979878,2.811334,0.8160135,VGG,Attack_1,0.2221836064890797,SPECTR,Attack_2
fake_02868_suno_1,9,3,3,0.617745291766204,0.6266398414613361,0.7326968589347916,0.4880350140518512,0.6221335863146379,0.8002861666666666,1.0,0.8002861666666666,0.793002,0.112844,0.0826495,0.8212887880952381,0.7988693657142856,0.4962053333333333,0.4998899999999999,-0.00265066666666663,0.002650888888888859,0.0001259999999999,fake,3.905957,0.989188,4.337894,-1.647379,3.977362,0.7326968589347916,AST,Attack_1,0.4880350140518512,SPECTR,Attack_1
fake_05418_udio_0,9,3,3,0.42989047116236456,0.4470416553062789,0.7332680472974401,0.0873006984395014,0.5099736965243955,0.7631004166666667,1.0,0.7631004166666667,0.79523475,0.204453,0.0970995,0.6970266684126983,0.66555616,0.4479376666666666,0.491114,0.043861999999999984,0.05178066666666662,0.008745,fake,3.855295,0.9933,4.180732,-3.831314,3.077464,0.7332680472974401,VGG,Attack_1,0.0873006984395014,AST,Attack_1
fake_06014_udio_0,9,3,3,0.5083457848862202,0.47241606030985395,0.7148273398690819,0.3531894432055891,0.5454509722200264,0.7647069166666666,1.0,0.7647069166666666,0.7857125,0.262083,0.1052595,0.7201937484523809,0.6807984125000001,0.4681718888888889,0.469958,0.008014444444444465,0.03222311111111109,0.032244,fake,3.3892385000000003,0.995802,4.556738,-3.789634,3.765882,0.7148273398690819,VGG,Attack_1,0.3531894432055891,SPECTR,Attack_1
fake_07770_udio_0,9,3,3,0.3864810252766042,0.3192316410831987,0.8338729473237821,0.1712939377161857,0.401777178724696,0.7749900833333333,1.0,0.7749900833333333,0.8202752499999999,0.238004,0.132557,0.5232513626984127,0.4310707914285714,0.47517511111111105,0.497496,0.011218888888888952,0.023619555555555515,0.0021349999999999,fake,1.762331,0.966193,3.027204,-3.991198,2.444818,0.8338729473237821,VGG,Attack_1,0.1712939377161857,SPECTR,Attack_1
fake_09727_udio_1,9,3,3,0.4968324652617055,0.5237797307283321,0.71272256583824,0.235759524784558,0.565701184469609,0.7483368333333335,1.0,0.7483368333333335,0.7714835,0.1793165,0.16094350000000002,0.7896049136507937,0.7287332471428571,0.4538351111111111,0.479969,0.02541388888888889,0.05378455555555549,0.0365109999999999,fake,3.814848,0.997368,4.835037,-3.924474,4.321272,0.71272256583824,VGG,Attack_1,0.235759524784558,AST,Attack_1
fake_09896_suno_1,9,3,3,0.7873851581446255,0.804286287322715,0.9496228882023104,0.5176864956226681,0.7940695818689844,0.81518075,1.0,0.81518075,0.82724325,0.113072,0.032623,0.9804741546825397,0.9824615071428572,0.49562055555555556,0.499888,0.0009211111111111106,0.0009673333333332883,3.399999999997849e-05,fake,4.5688379999999995,0.999377,4.99266,-0.254995,4.963645,0.9496228882023104,AST,Attack_2,0.5176864956226681,SPECTR,Attack_1
fake_12630_suno_1,9,3,3,0.636943198843632,0.6964761059879336,0.949691291308649,0.2741942875449277,0.7110224753288342,0.7290005,1.0,0.7290005,0.71037625,0.2642705,0.112424,0.9812968587301588,0.9783577485714284,0.43799188888888885,0.4998129999999999,-0.046920555555555576,0.05505366666666665,0.000121,fake,4.498715,0.999529,4.980369,-0.294669,4.945676,0.949691291308649,AST,Attack_2,0.2741942875449277,SPECTR,Attack_1
fake_13018_udio_0,9,3,3,0.4434709833585439,0.45495904674157744,0.6759398238943387,0.137381924906999,0.5229047187890781,0.7824265833333334,0.8888888888888888,0.7824265833333334,0.7838397500000001,0.2061935,0.052569000000000005,0.6953817847222221,0.6334346750000001,0.44465622222222223,0.493746,0.03959944444444444,0.16312788888888885,0.015194,fake,,0.984693,4.314834,-3.763774,3.350236,0.6759398238943387,VGG,Attack_1,0.137381924906999,AST,Attack_1
fake_13581_udio_0,9,3,3,0.3739204500422059,0.3965228045978813,0.4999158382654176,0.1315766214178551,0.4306825051281533,0.7341448333333332,1.0,0.7341448333333332,0.80684025,0.22440100000000002,0.059488,0.6061719692063492,0.5561721499999999,0.4574552222222221,0.4726669999999999,0.008369111111111145,0.03530488888888884,0.026875,fake,2.908011,0.849814,3.368629,-3.101686,3.051334,0.4999158382654176,VGG,Attack_1,0.1315766214178551,SPECTR,Attack_1
fake_14334_suno_1,9,3,3,0.5500617678559108,0.5527046126540491,0.6649285,0.43073072648793,0.5618401834370802,0.7999563333333333,1.0,0.7999563333333333,0.795497,0.109527,0.045335,0.734946906031746,0.7442953385714286,0.47251166666666666,0.494198,0.013880333333333333,0.02019233333333331,0.0056009999999999,fake,3.609464,0.929218,4.26986,-2.319999,3.847399,0.6649285,VGG,Attack_1,0.43073072648793,VGG,Attack_2
fake_14886_suno_0,9,3,3,0.5523680953493973,0.5545272719748526,0.6472299468857062,0.4745433807028071,0.578103172290472,0.7872178333333334,1.0,0.7872178333333334,0.784102,0.1371885,0.095353,0.7771285365079366,0.7659687171428571,0.45194588888888887,0.49837,0.03047177777777779,0.04357599999999997,0.0042119999999999,fake,3.221878,0.970372,4.741247,-2.129041,3.738384,0.6472299468857062,AST,Attack_2,0.4745433807028071,VGG,Attack_2
fake_16796_suno_1,9,3,3,0.725644760722048,0.7145151419139351,0.9495428752182696,0.482558993816455,0.7472571837495473,0.7609757500000001,1.0,0.7609757500000001,0.7238855,0.272891,0.122471,0.985832986031746,0.98524925,0.4868046666666667,0.499851,-0.015258333333333339,0.016287888888888883,5.500000000002725e-05,fake,4.512664,0.999558,4.989573,-0.264224,4.97713,0.9495428752182696,AST,Attack_2,0.482558993816455,SPECTR,Attack_1
fake_18041_udio_1,9,3,3,0.4476347713327611,0.5534879360284602,0.6425162568671895,0.0,0.4627798608859448,0.66124075,0.7777777777777778,0.7764174166666667,0.8076265,0.17732599999999998,0.070573,0.7476198957142858,0.767238432857143,0.4366325555555555,0.492812,0.0013294444444444428,0.1572185555555555,0.0090419999999999,fake,3.849303,0.950364,4.37076,-2.190817,3.678641,0.6425162568671895,AST,Attack_2,0.0,VGG,Attack_2
fake_18908_suno_1,9,3,3,0.4874171253647306,0.5028973835729347,0.61948704504292,0.3312708173962543,0.497345606941932,0.7741905,0.8888888888888888,0.7741905,0.824167,0.1105615,0.052123,0.680489210952381,0.6683786671428571,0.49215888888888887,0.497797,0.0031134444444444517,0.1164192222222222,0.0029799999999999,fake,2.989807,0.890873,4.067717,-2.459156,3.542378,0.61948704504292,VGG,Attack_1,0.3312708173962543,SPECTR,Attack_1
fake_19538_udio_0,9,3,3,0.35433564353473296,0.3537209301015469,0.7662254472229392,0.0,0.35862826795897035,0.64664925,0.8888888888888888,0.7973255833333334,0.8460650000000001,0.1704855,0.0480695,0.5984544463492063,0.4534754114285714,0.45225166666666666,0.495743,0.041667,0.07305611111111107,0.0026049999999999,fake,1.813354,0.961296,3.064832,-3.994598,2.941267,0.7662254472229392,VGG,Attack_1,0.0,AST,Attack_1
fake_23504_suno_1,9,3,3,0.42700489162730326,0.4399885829682647,0.73062335588691,0.0,0.45924725744131784,0.6671849166666667,0.8888888888888888,0.8094600833333333,0.79511975,0.1613995,0.055754,0.7011687730158731,0.7364407571428571,0.4173605555555555,0.498653,-0.046266888888888906,0.1138062222222222,0.00117,fake,3.778063,0.936887,4.078179,-2.211028,3.3986,0.73062335588691,VGG,Attack_1,0.0,SPECTR,Attack_2
fake_23853_udio_1,9,3,3,0.4970413297382941,0.478204311930128,0.7960325472745308,0.2848158131267634,0.5179066368196029,0.8021385833333333,1.0,0.8021385833333333,0.8630675000000001,0.12660300000000002,0.0471775,0.6727904979365079,0.6455485342857143,0.4825172222222222,0.498227,0.003287777777777793,0.011903333333333295,0.0029789999999999,fake,3.680583,0.9739,4.138501,-3.972435,3.036021,0.7960325472745308,VGG,Attack_1,0.2848158131267634,SPECTR,Attack_1
fake_23884_suno_1,9,3,3,0.5477063961606595,0.5795051376968163,0.70177,0.3200975323033875,0.6012682859530966,0.8037539166666666,1.0,0.8037539166666666,0.804813,0.11951250000000001,0.048101500000000005,0.7969469019047619,0.7673798499999999,0.4330496666666666,0.499498,-0.04028133333333336,0.04732266666666664,0.0002539999999999,fake,4.184517,0.934254,3.932309,-1.926984,3.70726,0.70177,VGG,Attack_1,0.3200975323033875,SPECTR,Attack_2
fake_24388_suno_1,9,3,3,0.4657518920445014,0.4601313880191594,0.6390387467197345,0.3189022635336016,0.47372397637764035,0.7735905000000001,1.0,0.7735905000000001,0.81322575,0.157108,0.0565195,0.6681521277777778,0.6981595800000001,0.4879013333333333,0.494082,-0.00575700000000001,0.009305444444444411,0.0051889999999999,fake,3.574558,0.936439,3.803198,-2.257167,3.24195,0.6390387467197345,VGG,Attack_1,0.3189022635336016,SPECTR,Attack_1
fake_25170_suno_0,9,3,3,0.6587883546666747,0.610038425429767,0.8918759667381302,0.5279156417687084,0.7349950875954218,0.7662513333333334,1.0,0.7662513333333334,0.77791175,0.1377445,0.1079005,0.9697569899999999,0.9687249999999998,0.4712327777777777,0.499927,0.022748555555555564,0.026523222222222215,1.7000000000044757e-05,fake,4.462429,0.998432,4.976331,-0.403339,4.942531,0.8918759667381302,AST,Attack_2,0.5279156417687084,SPECTR,Attack_1
fake_26293_suno_0,9,3,3,0.46396857624845883,0.4653547705409461,0.6842125,0.177368062338991,0.46754631300540034,0.7376269166666667,1.0,0.7376269166666667,0.8224447500000001,0.12569,0.0732265,0.6857927807936508,0.6912642057142857,0.4916418888888889,0.499272,0.004494444444444411,0.004688444444444412,0.0003379999999999,fake,3.548789,0.897178,3.753357,-1.979621,2.960402,0.6842125,VGG,Attack_1,0.177368062338991,SPECTR,Attack_1
fake_26837_udio_0,9,3,3,0.3405302817548929,0.3969979619451956,0.497360935493268,0.096738218835915,0.3896558041127258,0.73916125,1.0,0.73916125,0.8280305,0.17374699999999998,0.08746799999999999,0.587188412063492,0.5917489485714285,0.4310223333333333,0.4719919999999999,-0.11399899999999999,0.15186877777777774,0.0451979999999999,fake,3.064182,0.989715,4.029158,-3.981918,2.634837,0.497360935493268,AST,Attack_1,0.096738218835915,VGG,Attack_2
fake_27504_udio_1,9,3,3,0.672730688535224,0.695935127101355,0.8872311114707792,0.3409342396020266,0.7180044614482969,0.76207475,1.0,0.76207475,0.78593275,0.15105200000000002,0.089211,0.9575166084126985,0.9649846257142858,0.47505688888888886,0.499891,-0.00667622222222224,0.020808222222222193,4.4000000000044e-05,fake,4.275778,0.999372,4.985885,-0.359611,4.865223,0.8872311114707792,AST,Attack_2,0.3409342396020266,SPECTR,Attack_1
fake_29238_suno_1,9,3,3,0.6399740274159069,0.6558485005283792,0.82123400336844,0.4679627994557165,0.6477417853129543,0.7854240833333334,1.0,0.7854240833333334,0.7699867499999999,0.134821,0.092794,0.8674003436507937,0.8542281314285715,0.49280611111111106,0.499708,-0.0033351111111111238,0.003995333333333325,0.0001329999999999,fake,4.134939,0.973185,4.650939,-1.401859,4.509734,0.82123400336844,AST,Attack_1,0.4679627994557165,SPECTR,Attack_1
fake_30244_udio_0,9,3,3,0.506967484012675,0.5038264672359367,0.712396187888,0.2429136277967385,0.5267512354896513,0.7485469166666667,0.8888888888888888,0.7485469166666667,0.78415675,0.308231,0.091194,0.7166109534920635,0.6724074742857142,0.4803738888888889,0.485056,0.008910111111111079,0.1199543333333333,0.0037869999999999,fake,4.129162,0.966122,4.342251,-3.968828,3.555729,0.712396187888,VGG,Attack_1,0.2429136277967385,SPECTR,Attack_1
fake_30470_udio_1,9,3,3,0.28104278187515797,0.22635970234499392,0.7658643468620476,0.0,0.29318074714935927,0.640445,0.8888888888888888,0.7903675833333333,0.8480865,0.1803525,0.0477295,0.4934775104761905,0.3453969428571429,0.4360967777777777,0.484812,0.05750722222222219,0.08805611111111106,0.001751,fake,1.4168,0.774029,2.329701,-3.995057,2.665983,0.7658643468620476,VGG,Attack_1,0.0,AST,Attack_1
fake_31014_suno_0,9,3,3,0.682625564782075,0.7106413580918043,0.927882657850252,0.3075543206384772,0.7282289538578461,0.7508044166666666,1.0,0.7508044166666666,0.7570475000000001,0.1903155,0.09338450000000001,0.977314565079365,0.9751693,0.45884133333333327,0.499909,-0.028289666666666657,0.03202944444444442,3.199999999992098e-05,fake,4.523481,0.99931,4.978647,-0.429953,4.953753,0.927882657850252,AST,Attack_1,0.3075543206384772,SPECTR,Attack_1
fake_32764_suno_0,9,3,3,0.523380619561388,0.5193509373439134,0.633937851709152,0.4063896323811357,0.5475563487790313,0.80304075,1.0,0.80304075,0.808771,0.1069735,0.0439175,0.7280744273015873,0.75734357,0.47834999999999994,0.499803,0.004910000000000011,0.004910000000000011,9.40000000000385e-05,fake,3.830625,0.934784,4.144652,-2.184275,3.412136,0.633937851709152,AST,Attack_1,0.4063896323811357,SPECTR,Attack_1
fake_35261_suno_1,9,3,3,0.6636346693827279,0.6322319629277178,0.8349531147960582,0.525213,0.6673231855199977,0.7807938333333334,1.0,0.7807938333333334,0.7889967499999999,0.1302995,0.0787175,0.8838520936507935,0.8747470528571428,0.4805602222222222,0.495259,0.015460777777777783,0.018294333333333287,0.000688,fake,4.035388,0.996568,4.728535,-1.208868,4.636019,0.8349531147960582,AST,Attack_1,0.525213,VGG,Attack_1
fake_37097_udio_0,9,3,3,0.32704787880259406,0.3082452461802572,0.7792905208836715,0.014964830284758,0.4267383549386716,0.8235254166666667,1.0,0.8235254166666667,0.8500492500000001,0.16577750000000002,0.021948000000000002,0.5764401095238095,0.5540413485714286,0.4140112222222222,0.491599,0.0782381111111111,0.0782381111111111,0.005098,fake,2.771095,0.89983,3.537799,-3.987748,3.080311,0.7792905208836715,VGG,Attack_1,0.014964830284758,AST,Attack_1
fake_38961_udio_0,9,3,3,0.5600253892832331,0.5992928375897681,0.72088102379826,0.1891547284879762,0.5708036065967156,0.7284928333333333,1.0,0.7284928333333333,0.7782739999999999,0.171185,0.1546425,0.8373002976190476,0.7779621328571429,0.4894152222222222,0.4995549999999999,0.001498111111111083,0.006720555555555539,0.000383,fake,4.208309,0.999148,4.813675,-3.290384,4.245945,0.72088102379826,VGG,Attack_1,0.1891547284879762,SPECTR,Attack_1
fake_40188_udio_1,9,3,3,0.5647035245923658,0.5743890980020158,0.7286935074168204,0.3481742914447339,0.5831484838604011,0.7730333333333334,1.0,0.7730333333333334,0.799556,0.171609,0.1012885,0.7707873041666667,0.7191229875,0.4881418888888888,0.4993269999999999,0.004862777777777788,0.009509444444444433,0.0003529999999999,fake,,0.973759,4.328247,-2.350546,3.723549,0.7286935074168204,VGG,Attack_1,0.3481742914447339,SPECTR,Attack_1
fake_41087_udio_1,9,3,3,0.2473241660424311,0.26032611570532443,0.4384647520267974,0.0,0.3669863238025221,0.65069275,0.8888888888888888,0.77204775,0.79696375,0.14921099999999998,0.096277,0.5842118623809524,0.5689907842857143,0.32717644444444444,0.324589,0.06801555555555558,0.1440133333333333,0.1222789999999999,fake,2.321027,0.879862,3.797423,-3.169259,2.868769,0.4384647520267974,AST,Attack_2,0.0,VGG,Attack_2
fake_41199_suno_0,9,3,3,0.48980921797558213,0.5356759002152904,0.6467030616815331,0.1424012999317568,0.5664160659638665,0.7908605833333334,0.8888888888888888,0.7908605833333334,0.79686425,0.1234215,0.05690050000000001,0.7456916833333334,0.7280794657142857,0.4356605555555555,0.486417,-0.04122822222222225,0.16839355555555555,0.0137329999999999,fake,3.673739,0.957694,4.146961,-1.959235,3.168302,0.6467030616815331,AST,Attack_2,0.1424012999317568,SPECTR,Attack_2
fake_42122_suno_1,9,3,3,0.6247514542305938,0.6101670276771431,0.7880183272958744,0.4359320230997938,0.6423703047475093,0.7816155,1.0,0.7816155,0.82377225,0.1205745,0.039594500000000005,0.866226052063492,0.8564974228571428,0.4886777777777777,0.49973,-0.0012231111111111162,0.00770644444444444,0.000198,fake,4.228539,0.97854,4.500356,-1.358264,4.229922,0.7880183272958744,AST,Attack_2,0.4359320230997938,SPECTR,Attack_1
fake_43253_udio_0,9,3,3,0.4134325946798911,0.4134678257872254,0.651350087265075,0.2207747311706383,0.47588288240779913,0.7483646666666667,1.0,0.7483646666666667,0.791376,0.21053349999999998,0.07629849999999999,0.6909136731746032,0.6435744057142857,0.45088466666666666,0.489928,0.033085666666666666,0.042365,0.008844,fake,3.621796,0.998355,3.714744,-3.482103,3.312624,0.651350087265075,VGG,Attack_1,0.2207747311706383,AST,Attack_1
fake_44098_suno_0,9,3,3,0.4783396144306473,0.4296450468406058,0.8650109685424058,0.2382996932014595,0.49176199069021215,0.7310898333333333,0.8888888888888888,0.7310898333333333,0.78487975,0.11919400000000001,0.1015805,0.675291729047619,0.6372988842857144,0.4693737777777777,0.498824,0.016227888888888858,0.10066499999999996,0.0010909999999999,fake,3.091175,0.860317,3.620577,-2.125326,3.421809,0.8650109685424058,AST,Attack_1,0.2382996932014595,SPECTR,Attack_1
