stem,n_cases,n_models,n_attacks,afs_stable_mean,afs_stable_median,afs_stable_max,afs_stable_min,afs_quality_mean,afs_simple_mean,pred_preserved_rate,attribution_change_mean,attribution_change_median,cos_sim_median,top10_overlap_median,quality_score_mean,quality_score_median,margin_adv_mean,margin_adv_median,margin_drop_mean,abs_score_shift_mean,abs_score_shift_median,label_str,pesq_median,stoi_median,visqol_median,peaq_median,zimtohrli_median,best_case_afs_stable,best_model,best_attack,worst_case_afs_stable,worst_model,worst_attack,case_group,reason_tags
fake_09896_suno_1,9,3,3,0.7873851581446255,0.804286287322715,0.9496228882023104,0.5176864956226681,0.7940695818689844,0.81518075,1.0,0.81518075,0.82724325,0.113072,0.032623,0.9804741546825397,0.9824615071428572,0.49562055555555556,0.499888,0.0009211111111111106,0.0009673333333332883,3.399999999997849e-05,fake,4.5688379999999995,0.999377,4.99266,-0.254995,4.963645,0.9496228882023104,AST,Attack_2,0.5176864956226681,SPECTR,Attack_1,easy,easy_by_high_afs_stable;prediction_preserved;strong_attr_change;low_cos_sim;low_top10_overlap;high_quality;safe_margin
fake_16796_suno_1,9,3,3,0.725644760722048,0.7145151419139351,0.9495428752182696,0.482558993816455,0.7472571837495473,0.7609757500000001,1.0,0.7609757500000001,0.7238855,0.272891,0.122471,0.985832986031746,0.98524925,0.4868046666666667,0.499851,-0.015258333333333339,0.016287888888888883,5.500000000002725e-05,fake,4.512664,0.999558,4.989573,-0.264224,4.97713,0.9495428752182696,AST,Attack_2,0.482558993816455,SPECTR,Attack_1,easy,easy_by_high_afs_stable;prediction_preserved;high_quality;safe_margin
real_03067,9,3,3,0.7032476629457922,0.6751984346473101,0.9399134017288104,0.5036869117791468,0.7165219103682411,0.78496675,1.0,0.78496675,0.7690939999999999,0.3040455,0.10272,0.9297293926984127,0.9266177428571428,0.49077777777777776,0.49999,0.0032732222222222073,0.003412555555555556,2.000000000000001e-06,real,4.31214,0.99924,4.931558,-0.960674,4.725145,0.9399134017288104,AST,Attack_1,0.5036869117791468,SPECTR,Attack_1,easy,easy_by_high_afs_stable;prediction_preserved;high_quality;safe_margin
fake_31014_suno_0,9,3,3,0.682625564782075,0.7106413580918043,0.927882657850252,0.3075543206384772,0.7282289538578461,0.7508044166666666,1.0,0.7508044166666666,0.7570475000000001,0.1903155,0.09338450000000001,0.977314565079365,0.9751693,0.45884133333333327,0.499909,-0.028289666666666657,0.03202944444444442,3.199999999992098e-05,fake,4.523481,0.99931,4.978647,-0.429953,4.953753,0.927882657850252,AST,Attack_1,0.3075543206384772,SPECTR,Attack_1,easy,easy_by_high_afs_stable;prediction_preserved;low_cos_sim;low_top10_overlap;high_quality;safe_margin
fake_46574_suno_1,9,3,3,0.6735225601023371,0.683748561676646,0.8770039843473904,0.3697109326484659,0.6805055745383286,0.7404575833333333,1.0,0.7404575833333333,0.787433,0.1560925,0.09489650000000001,0.9375831753968255,0.9360991385714286,0.4880801111111111,0.4998629999999999,0.003001888888888901,0.007001222222222205,8.000000000008001e-05,fake,4.353907,0.997846,4.90625,-0.710294,4.766504,0.8770039843473904,AST,Attack_1,0.3697109326484659,SPECTR,Attack_1,easy,easy_by_high_afs_stable;prediction_preserved;low_cos_sim;low_top10_overlap;high_quality;safe_margin
fake_27504_udio_1,9,3,3,0.672730688535224,0.695935127101355,0.8872311114707792,0.3409342396020266,0.7180044614482969,0.76207475,1.0,0.76207475,0.78593275,0.15105200000000002,0.089211,0.9575166084126985,0.9649846257142858,0.47505688888888886,0.499891,-0.00667622222222224,0.020808222222222193,4.4000000000044e-05,fake,4.275778,0.999372,4.985885,-0.359611,4.865223,0.8872311114707792,AST,Attack_2,0.3409342396020266,SPECTR,Attack_1,easy,easy_by_high_afs_stable;prediction_preserved;low_cos_sim;low_top10_overlap;high_quality;safe_margin
fake_35261_suno_1,9,3,3,0.6636346693827279,0.6322319629277178,0.8349531147960582,0.525213,0.6673231855199977,0.7807938333333334,1.0,0.7807938333333334,0.7889967499999999,0.1302995,0.0787175,0.8838520936507935,0.8747470528571428,0.4805602222222222,0.495259,0.015460777777777783,0.018294333333333287,0.000688,fake,4.035388,0.996568,4.728535,-1.208868,4.636019,0.8349531147960582,AST,Attack_1,0.525213,VGG,Attack_1,easy,easy_by_high_afs_stable;prediction_preserved;low_cos_sim;low_top10_overlap;high_quality;safe_margin
real_13937,9,3,3,0.6592479446386416,0.6697349292616903,0.8432575093659954,0.4042529061769291,0.6652666181110599,0.7580361666666667,0.8888888888888888,0.7580361666666667,0.7805610000000001,0.2688895,0.1105455,0.8970403574603174,0.9023426614285714,0.49454744444444443,0.499765,-8.544444444445173e-05,0.11160922222222219,0.00101,real,4.352695,0.999085,4.954645,-1.446153,4.618577,0.8432575093659954,AST,Attack_1,0.4042529061769291,SPECTR,Attack_1,easy,easy_by_high_afs_stable;high_quality;safe_margin
fake_25170_suno_0,9,3,3,0.6587883546666747,0.610038425429767,0.8918759667381302,0.5279156417687084,0.7349950875954218,0.7662513333333334,1.0,0.7662513333333334,0.77791175,0.1377445,0.1079005,0.9697569899999999,0.9687249999999998,0.4712327777777777,0.499927,0.022748555555555564,0.026523222222222215,1.7000000000044757e-05,fake,4.462429,0.998432,4.976331,-0.403339,4.942531,0.8918759667381302,AST,Attack_2,0.5279156417687084,SPECTR,Attack_1,easy,easy_by_high_afs_stable;prediction_preserved;low_cos_sim;high_quality;safe_margin
fake_29238_suno_1,9,3,3,0.6399740274159069,0.6558485005283792,0.82123400336844,0.4679627994557165,0.6477417853129543,0.7854240833333334,1.0,0.7854240833333334,0.7699867499999999,0.134821,0.092794,0.8674003436507937,0.8542281314285715,0.49280611111111106,0.499708,-0.0033351111111111238,0.003995333333333325,0.0001329999999999,fake,4.134939,0.973185,4.650939,-1.401859,4.509734,0.82123400336844,AST,Attack_1,0.4679627994557165,SPECTR,Attack_1,easy,easy_by_high_afs_stable;prediction_preserved;low_cos_sim;low_top10_overlap;high_quality;safe_margin
