stem,n_cases,n_models,n_attacks,afs_stable_mean,afs_stable_median,afs_stable_max,afs_stable_min,afs_quality_mean,afs_simple_mean,pred_preserved_rate,attribution_change_mean,attribution_change_median,cos_sim_median,top10_overlap_median,quality_score_mean,quality_score_median,margin_adv_mean,margin_adv_median,margin_drop_mean,abs_score_shift_mean,abs_score_shift_median,label_str,pesq_median,stoi_median,visqol_median,peaq_median,zimtohrli_median,best_case_afs_stable,best_model,best_attack,worst_case_afs_stable,worst_model,worst_attack,case_group,reason_tags
fake_13581_udio_0,9,3,3,0.3739204500422059,0.3965228045978813,0.4999158382654176,0.1315766214178551,0.4306825051281533,0.7341448333333332,1.0,0.7341448333333332,0.80684025,0.22440100000000002,0.059488,0.6061719692063492,0.5561721499999999,0.4574552222222221,0.4726669999999999,0.008369111111111145,0.03530488888888884,0.026875,fake,2.908011,0.849814,3.368629,-3.101686,3.051334,0.4999158382654176,VGG,Attack_1,0.1315766214178551,SPECTR,Attack_1,hard_attr_stable,hard_by_attr_stability;prediction_preserved;low_top10_overlap;safe_margin
real_06665,9,3,3,0.39870145398031215,0.35406309525697455,0.7904282550114303,0.0844005645799906,0.5719083146280998,0.7692040833333333,1.0,0.7692040833333333,0.7096184999999999,0.4465795,0.085496,0.7492373152380952,0.7083389357142857,0.35172166666666665,0.491888,0.022611999999999986,0.0580322222222222,0.008015,real,3.633986,0.968724,4.129047,-3.052034,3.965687,0.7904282550114303,AST,Attack_1,0.0844005645799906,SPECTR,Attack_2,hard_attr_stable,hard_by_attr_stability;prediction_preserved;low_top10_overlap;safe_margin
real_19284,9,3,3,0.4069180824468466,0.44219851249161235,0.5399398594250365,0.1829844892159416,0.46507294512353176,0.7721939166666667,1.0,0.7721939166666667,0.741071,0.317621,0.065028,0.665041673968254,0.6876902114285715,0.41842866666666667,0.499792,-0.036901666666666645,0.03705766666666665,0.0001039999999999,real,3.731385,0.95652,4.262611,-3.980483,4.16975,0.5399398594250365,VGG,Attack_1,0.1829844892159416,SPECTR,Attack_2,hard_attr_stable,hard_by_attr_stability;prediction_preserved;low_top10_overlap;safe_margin
fake_43253_udio_0,9,3,3,0.4134325946798911,0.4134678257872254,0.651350087265075,0.2207747311706383,0.47588288240779913,0.7483646666666667,1.0,0.7483646666666667,0.791376,0.21053349999999998,0.07629849999999999,0.6909136731746032,0.6435744057142857,0.45088466666666666,0.489928,0.033085666666666666,0.042365,0.008844,fake,3.621796,0.998355,3.714744,-3.482103,3.312624,0.651350087265075,VGG,Attack_1,0.2207747311706383,AST,Attack_1,hard_attr_stable,hard_by_attr_stability;prediction_preserved;low_top10_overlap;safe_margin
fake_05418_udio_0,9,3,3,0.42989047116236456,0.4470416553062789,0.7332680472974401,0.0873006984395014,0.5099736965243955,0.7631004166666667,1.0,0.7631004166666667,0.79523475,0.204453,0.0970995,0.6970266684126983,0.66555616,0.4479376666666666,0.491114,0.043861999999999984,0.05178066666666662,0.008745,fake,3.855295,0.9933,4.180732,-3.831314,3.077464,0.7332680472974401,VGG,Attack_1,0.0873006984395014,AST,Attack_1,hard_attr_stable,hard_by_attr_stability;prediction_preserved;low_top10_overlap;safe_margin
real_06994,9,3,3,0.43010770033376805,0.45215587782211075,0.851007829776,0.0995389580412736,0.48386609801168157,0.77340375,1.0,0.77340375,0.711614,0.486112,0.07833499999999999,0.6435975414285715,0.66522214,0.38357844444444444,0.490984,-0.009047777777777785,0.10270244444444446,0.091117,real,3.028341,0.97995,4.036414,-3.022,3.304544,0.851007829776,AST,Attack_1,0.0995389580412736,VGG,Attack_2,hard_attr_stable,hard_by_attr_stability;prediction_preserved;low_top10_overlap;safe_margin
fake_50637_suno_0,9,3,3,0.4445662988553008,0.4851227522421007,0.6443946465654845,0.1169581926383117,0.5501278483890731,0.7535828333333333,1.0,0.7535828333333333,0.7856065,0.10686899999999999,0.105877,0.7858502871428572,0.7758383714285715,0.4492923333333333,0.4999209999999999,0.04619366666666667,0.04730499999999999,2.8000000000028e-05,fake,3.787417,0.946812,4.376525,-1.819104,3.87579,0.6443946465654845,AST,Attack_2,0.1169581926383117,AST,Attack_1,hard_attr_stable,hard_by_attr_stability;prediction_preserved;low_cos_sim;safe_margin
real_01021,9,3,3,0.4508497685676139,0.41285774493655825,0.6968839852198284,0.2432038320816452,0.4854112442468703,0.7306034166666667,1.0,0.7306034166666667,0.7252177499999999,0.44605500000000003,0.1313105,0.6630174247619048,0.6432518914285714,0.4518426666666666,0.499293,-0.0011020000000000018,0.027603777777777765,0.000542,real,3.443458,0.842011,3.360719,-1.851683,2.842531,0.6968839852198284,AST,Attack_1,0.2432038320816452,SPECTR,Attack_2,hard_attr_stable,hard_by_attr_stability;prediction_preserved;safe_margin
real_07265,9,3,3,0.45135601648610596,0.41695262054177973,0.6829371701411089,0.3227514775847222,0.46642946203109753,0.7412475833333333,1.0,0.7412475833333333,0.7103952499999999,0.4373675,0.117928,0.6646104560317461,0.6763515714285715,0.47089388888888883,0.487863,-0.009034888888888929,0.0165551111111111,0.006709,real,3.876514,0.987157,4.3307,-3.975876,3.27272,0.6829371701411089,AST,Attack_1,0.3227514775847222,VGG,Attack_2,hard_attr_stable,hard_by_attr_stability;prediction_preserved;safe_margin
fake_50028_suno_1,9,3,3,0.4602256824739206,0.43544513074772934,0.6777071324750613,0.3033912257380239,0.5081820598206571,0.8065462499999999,1.0,0.8065462499999999,0.812472,0.14043,0.052201,0.6649049136507936,0.6488851042857144,0.45704211111111115,0.4999019999999999,-0.04087711111111109,0.0908151111111111,8.599999999991947e-05,fake,2.770736,0.989402,3.941584,-2.442881,3.104196,0.6777071324750613,VGG,Attack_1,0.3033912257380239,AST,Attack_1,hard_attr_stable,hard_by_attr_stability;prediction_preserved;strong_attr_change;low_cos_sim;low_top10_overlap;safe_margin
