stem,case_group
fake_09896_suno_1,easy
fake_16796_suno_1,easy
real_03067,easy
fake_31014_suno_0,easy
fake_46574_suno_1,easy
fake_27504_udio_1,easy
fake_35261_suno_1,easy
real_13937,easy
fake_25170_suno_0,easy
fake_29238_suno_1,easy
fake_13581_udio_0,hard_attr_stable
real_06665,hard_attr_stable
real_19284,hard_attr_stable
fake_43253_udio_0,hard_attr_stable
fake_05418_udio_0,hard_attr_stable
real_06994,hard_attr_stable
fake_50637_suno_0,hard_attr_stable
real_01021,hard_attr_stable
real_07265,hard_attr_stable
fake_50028_suno_1,hard_attr_stable
